--- Decision Tree Classifier ---
train accuracy: 0.709 validate accuracy: 0.6
--- Bagging Tree Classifier ---
n_estimators: 15
train accuracy: 0.731 validate accuracy: 0.61
--- Random Forest Classifier ---
13 8 0.957 0.6075
13 9 0.978 0.5675
13 10 0.967 0.5825
13 11 0.98 0.57
13 12 0.977 0.56
13 13 0.978 0.6
13 14 0.986 0.5625
13 15 0.986 0.555
13 16 0.987 0.5875
13 17 0.99 0.6025
13 18 0.989 0.5925
13 19 0.995 0.5925
13 20 0.992 0.585
13 21 0.984 0.565
13 22 0.997 0.58
13 23 0.992 0.5875
13 24 0.993 0.5975
13 25 0.993 0.6075
13 26 0.998 0.5825
13 27 0.998 0.605
13 28 0.994 0.605
13 29 0.996 0.5575
14 1 0.838 0.5175
14 2 0.848 0.5475
14 3 0.903 0.56
14 4 0.932 0.5575
14 5 0.944 0.55
14 6 0.959 0.545
14 7 0.952 0.5875
14 8 0.971 0.57
14 9 0.972 0.5575
14 10 0.979 0.54
14 11 0.984 0.5825
14 12 0.983 0.58
14 13 0.994 0.5575
14 14 0.992 0.5775
14 15 0.991 0.59
14 16 0.992 0.5675
14 17 0.99 0.57
14 18 0.996 0.5925
14 19 0.993 0.59
14 20 0.995 0.5675
14 21 0.993 0.605
14 22 0.994 0.5675
14 23 0.998 0.565
14 24 0.997 0.59
14 25 0.996 0.575
14 26 0.997 0.5775
14 27 0.993 0.6075
14 28 0.995 0.5725
14 29 0.997 0.5725
15 1 0.85 0.52
15 2 0.841 0.555
15 3 0.917 0.5175
15 4 0.909 0.55
15 5 0.942 0.545
15 6 0.945 0.575
15 7 0.967 0.5575
15 8 0.969 0.545
15 9 0.982 0.5375
15 10 0.973 0.56
15 11 0.991 0.5875
15 12 0.985 0.5775
15 13 0.989 0.5975
15 14 0.987 0.5925
15 15 0.995 0.5725
15 16 0.994 0.595
15 17 0.997 0.6
15 18 0.994 0.5875
15 19 0.996 0.565
15 20 0.997 0.5725
15 21 0.999 0.565
15 22 0.996 0.56
15 23 0.998 0.5575
15 24 0.995 0.5775
15 25 0.997 0.595
15 26 0.996 0.585
15 27 0.999 0.5775
15 28 1.0 0.59
15 29 0.998 0.58
16 1 0.849 0.51
16 2 0.823 0.5375
16 3 0.922 0.545
16 4 0.932 0.5475
16 5 0.948 0.56
16 6 0.943 0.5875
16 7 0.975 0.5725
16 8 0.974 0.555
16 9 0.985 0.535
16 10 0.984 0.5475
16 11 0.985 0.5875
16 12 0.983 0.59
16 13 0.991 0.5575
16 14 0.987 0.5825
16 15 0.991 0.5775
16 16 0.991 0.5675
16 17 0.998 0.5575
16 18 0.999 0.5725
16 19 0.995 0.5625
16 20 0.999 0.5975
16 21 0.997 0.5725
16 22 0.999 0.5875
16 23 0.999 0.565
16 24 0.999 0.5775
16 25 0.998 0.57
16 26 0.997 0.5875
16 27 1.0 0.5925
16 28 0.997 0.5875
16 29 0.999 0.545
17 1 0.815 0.5225
17 2 0.843 0.5025
17 3 0.923 0.575
17 4 0.923 0.535
17 5 0.959 0.58
17 6 0.963 0.59
17 7 0.967 0.5675
17 8 0.975 0.6225
17 9 0.976 0.5975
17 10 0.984 0.5625
17 11 0.99 0.58
17 12 0.993 0.5675
